total nodes,number tweets,number retweet,number replies,depth,freq,vrf,leader ,normal,total sentiment,co,centralty,diam,ecc,num sh path,num clique,num idp,max out,empty,engage max,num normal max,num leader max,lc,t freq,r freq,tpfr,t max,snt first,snt deep,snt ratio,score comm,local,snt sh path,wight clique,snt idp
164,93,51,20,4,2.97,51,16,35,0.0373,0.85,0,4,2.75,4,6,3,11,76,11,7,2,232.63,2.950545455,1.409531987,8.240829187,0.516666667,-0.127452941,0.3924,0.4,4.2749,3,-0.0468,-0.25405,-0.2843
11,9,2,0,2,340.73,2,2,0,0,0,0,0,0,0,0,1,7,1,0,1,62.53833333,312.3350694,1.180509259,8.029583333,32.32,0,0,0,0,0,0,0,0,0
64,41,19,4,3,1232.95,19,9,10,1.1203,0,0,2,1.75,2,2,2,4,28,4,3,1,78908.95028,1213.892692,1087.833009,9.604298246,70039.95972,0.040069231,1.0271,0,0,1,1.0271,0.71306,0.6252
401,266,114,21,2,31.2,114,42,72,-3.2535,0.87,-0.48,4,2.80952381,4,6,3,110,252,110,60,33,12490.16667,31.12367537,31.06996476,11.13238806,0,-0.232392857,-4.2661,0.428571429,3.7197,2,-0.2696,-1.475459259,-0.1419
2649,1024,1419,206,5,4.55,1419,515,904,-17.4906,0.87,-0.32,4,2.781553398,4,38,3,113,808,134,62,29,12061.70194,4.337327883,3.329236268,63.44319524,3838.368056,-0.096432407,1.0576,0.388349515,42.4657,34,-0.1617,-6.56530218,-0.445
1088,704,322,62,5,3.73,322,156,166,-4.1363,0.88,-0.68,4,2.758064516,4,14,3,114,632,119,50,47,254.2227778,3.726378176,0.233328997,7.113844354,0,-0.034948611,-3.7156,0.387096774,14.253,7,-0.3354,-2.227698746,-0.1031
64,45,7,12,4,2.89,7,2,5,1.197,0.75,0,4,2.833333333,4,6,3,8,37,11,2,1,181.3627778,1.693769231,2.776730769,13.50397569,2.2575,0.0546625,1.7556,0.25,2.819,1,0.1256,0.67976,0.456
4452,1094,2606,752,5,18.1,2606,952,1654,7.4377,0.86,0,4,2.949468085,4,90,3,217,742,273,80,39,80560.4975,18.05920104,15.31911389,27.26241077,62250.84389,-0.004335227,1.7753,0.323138298,164.4526,117,-0.0579,10.44736111,0.3301
658,306,314,38,4,15.87,314,132,182,-0.3497,0.85,0,4,2.921052632,4,10,3,98,244,99,56,33,208.3066667,0.329405244,0.315303069,7.421775362,0,-0.031514516,0.9943,0.394736842,10.4572,5,0.3525,-1.217674242,0.2252
2,2,0,0,1,622.07,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,414.7108333,0,0,0,0,0,0,0,0,0,0,0,0
2507,1169,876,462,5,5.69,876,321,555,-39.0247,0.87,0,4,2.857142857,4,68,4,159,989,252,111,47,8071.313611,5.69106559,3.211942562,18.21871202,188.93,-0.222713889,-0.3388,0.398268398,107.0897,72,-0.1525,-12.13016236,-0.3126
134,84,26,24,5,43.14,26,8,18,0.8161,0.93,-0.2,3,2.25,3,4,3,18,74,21,9,2,5062.349167,42.82077366,37.35322428,166.4981619,41.44583333,0.04296,-0.6833,0.208333333,3.0432,3,0.4975,0.080097826,0.3599
115,9,89,17,5,49.5,89,35,54,0.7749,0.83,-0.34,4,3.176470588,4,6,3,37,5,40,20,13,5688.439722,49.03086686,45.68961925,7.140689203,388.4383333,0.0721,-0.0987,0.235294118,3.5451,2,0.3054,0.404768571,0.0248
104,40,37,27,4,86.61,37,13,24,-2.09,0.91,-0.86,4,3.148148148,4,4,3,35,32,41,18,8,93.43333333,17.38938624,0.780126984,4.620458554,25.25361111,-0.272975,-0.5307,0.407407407,8.0358,1,-0.1643,-1.452031707,0.1132
399,222,135,42,3,3.92,135,51,84,-2.0535,0.85,0,4,3.238095238,4,10,3,27,190,27,17,8,502.0622222,3.906563889,1.254998611,3.702639683,448.8627778,-0.10033125,0.6908,0.428571429,13.2007,6,-0.065,-1.232456738,0.6279
39,31,7,1,2,15.22,7,3,4,0,0,0,0,0,0,1,1,8,30,8,4,3,264.5858333,14.835625,0.0870625,0.533333333,261.0825,0,0,0,0,0,0,0,0
307,265,27,15,3,79.73,27,20,7,2.2086,0.84,0.56,0,0,6,3,5,233,5,0,1,24476.78028,79.46976912,79.4672114,7.946015625,8753.316389,0.0678375,0.7276,0.133333333,0,0,0,1.130390909,-0.5186,0.0935
1783,909,401,473,5,15.65,401,180,221,-19.3908,0.89,0,4,2.746300211,4,57,3,232,778,311,80,69,25445.99694,15.6391553,14.198544,13.48214594,25168.34139,-0.180022137,-0.5951,0.321353066,85.6785,59,-0.0627,-4.571107919,-0.0451
103,99,3,1,2,65.02,3,1,2,0,0,0,0,0,0,1,1,1,95,1,1,0,198.5977778,64.3971688,1.478934295,5.453703704,28.61166667,0,0,0,0,0,0,0,0
5,5,0,0,1,22.72,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18.9312963,0,0,0,0,0,0,0,0,0,0,0,0
61,46,8,7,4,4.67,8,5,3,-0.1325,0,0,3,2.571428571,3,3,2,6,43,11,3,1,60.43277778,4.589874552,0.480044803,2.041796296,30.00416667,-0.044933333,-0.1325,0.428571429,0,1,-0.603,-0.14218,-0.0126
10,10,0,0,1,4.08,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3.706111111,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,1,44.04,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,38.53402778,0,0,0,0,0,0,0,0,0,0,0,0
950,181,497,272,5,4.86,497,203,294,55.3136,0.86,0.92,4,3.0625,4,39,3,194,140,224,73,34,2614.3675,4.187789169,2.657507594,17.53799569,135.1391667,1.20594878,21.5398,0.209558824,81.9016,34,0.2959,30.85575892,0.3007
333,169,71,93,5,48.57,71,37,34,3.925,0.89,-0.13,4,2.752688172,4,17,3,46,148,61,15,16,166.3808333,48.42578842,0.494036094,2.047240497,12.10972222,0.000552381,1.1764,0.247311828,16.7232,13,0.3124,3.054261552,0.0338
603,307,249,47,4,12.49,249,107,142,3.5539,0.82,0.3,4,3.234042553,4,14,3,98,259,99,67,27,7531.280556,12.44807165,12.46899099,3.178344907,546.5527778,0.07795,-0.4767,0.340425532,15.6599,8,0.0005,3.42790628,-0.0663
4837,763,2112,1962,5,4.23,2112,628,1484,-284.3505,0.87,-0.79,4,2.933231397,4,213,3,297,608,554,145,93,16057.39361,4.228873042,3.318905884,51.13273349,10101.63806,-1.607787097,-1.3429,0.458205912,494.8485,268,-0.3715,-107.4812642,-0.5557
309,268,25,16,4,273.21,25,15,10,-1.4852,0.71,0,6,4.125,6,8,4,5,240,5,0,5,69531.95389,272.3251407,182.9300045,150.890744,46962.00111,-0.071353571,1.4672,0.5,3.9745,1,0.0268,-1.035578571,-0.0977
647,615,25,7,3,26.24,25,14,11,-1.0185,0,0,0,0,3,2,5,600,5,2,2,4717.040556,26.19452846,7.161499486,99.01232407,4242.962778,-0.03612,0.2733,0.571428571,0,0,0,-1.22425,0.1652,0.1652
1434,828,506,100,5,4.81,506,206,300,-1.5735,0.85,0,4,3.08,4,17,3,89,724,89,44,44,5955.130833,4.809512969,4.149906117,21.58246627,6.524166667,-0.0390875,-0.8686,0.4,22.8606,16,-0.1324,-0.779704659,-0.2742
179,84,83,12,5,47.93,83,35,48,1.9086,0.88,0,3,2.25,3,4,2,51,73,51,36,15,461.4955556,47.65964815,2.563756173,5.944532967,285.3175,-0.013390909,1.0696,0.083333333,2.1788,2,0.8687,0.731747826,0.6597
157,72,72,13,3,111.67,72,31,41,4.7772,0.85,0,4,3,4,5,3,22,56,22,12,4,2987.940556,110.9592089,7.613373769,20.53981707,1807.229444,0.2516625,0.8278,0.076923077,2.8639,2,0.9757,2.596330769,0.4219
221,170,24,27,5,23.82,24,11,13,-8.4865,0.89,0,4,3.148148148,4,5,3,11,150,12,2,4,3658.8025,23.70890265,16.47391892,10.245,36.1825,-0.320495,-1.206,0.555555556,7.214,1,-0.2518,-3.630689583,0.0443
76,65,10,1,2,39.2,10,5,5,0,0,0,0,0,0,1,1,4,61,4,1,2,2978.823889,38.65640693,36.47975469,0.303030303,172.6544444,0,0,0,0,0,0,0,0
311,177,120,14,3,36.72,120,42,78,2.3584,0.87,0.86,3,2.428571429,3,3,2,106,167,107,59,34,161.8919444,36.60553953,0.518775819,6.153851575,2.717777778,0.23584,2.3584,0.214285714,3.8268,2,0.9088,0.767314286,0.0419
360,95,240,25,5,41.88,240,111,129,-4.7421,0.92,0.4,3,2.2,3,4,2,97,84,110,69,33,15076.34194,3.899120499,41.73711911,1446.686336,27.25916667,-0.134854545,-4.1314,0.44,3.6451,6,-0.8657,-2.109527451,-0.8625
51,49,2,0,2,8.78,2,0,2,0,0,0,0,0,0,0,1,47,1,1,0,424.4783333,8.609935897,8.066089744,1.177916667,2.710833333,0,0,0,0,0,0,0,0,0
195,61,107,27,3,34.28,107,49,58,-2.521,0.88,0,4,2.777777778,4,8,3,87,50,89,39,34,309.9319444,34.10275227,1.548761338,4.496971596,71.97666667,-0.272390909,-2.2035,0.407407407,5.3827,3,-0.0949,-0.87704,0.1364
437,125,224,88,5,13.62,224,95,129,-11.8478,0.86,0.5,4,2.806818182,4,19,3,120,109,121,48,42,5951.439444,13.5875983,11.41171867,11.51845225,2583.025278,-0.60845625,-2.5599,0.477272727,20.4529,14,-0.3392,-4.278875318,-0.123
783,451,163,169,5,24.07,163,74,89,15.7436,0.87,-0.3,4,2.899408284,4,30,3,65,394,69,27,19,18839.88389,24.0301148,24.03037805,6.423680556,17.81944444,0.183721053,0.7016,0.24852071,34.1592,17,-0.0543,6.141253716,-0.0994
2916,1891,544,481,5,13.08,544,221,323,6.8143,0.86,-0.49,4,2.954261954,4,76,3,81,1614,95,28,13,36978.76,13.07160239,12.67566031,12.50279491,100.0747222,-0.017476173,-0.8548,0.343035343,129.8562,81,0.0062,8.890255199,0.4246
764,468,213,83,4,9.77,213,106,107,-9.0628,0.88,0,4,2.686746988,4,12,2,46,408,48,15,13,6761.108056,9.757286129,8.836257807,19.98986643,20.14611111,-0.161548333,1.5976,0.43373494,15.8631,12,-0.3519,-5.161750248,-0.1461
344,106,161,77,5,0.84,161,62,99,-3.1198,0.86,0.03,4,2.883116883,4,21,4,107,89,126,56,41,237.9833333,0.837921095,0.689623994,11.8812634,40.90555556,-0.222082353,-0.6066,0.415584416,13.7243,11,-0.0781,-1.801852021,0.6548
133,123,10,0,2,15.63,10,6,4,0,0,0,0,0,0,0,10,122,10,4,6,89.36444444,15.51026741,0.558397595,20.20877778,12.99222222,0,0,0,0,0,0,0,0,0
116,98,9,9,5,293.07,9,6,3,0.3911,0,0,2,1.222222222,2,2,1,2,88,2,1,1,33996.01694,290.2078015,288.6610589,64.68638889,222.7022222,-0.00665,0,0.111111111,0,7,0.3653,0.20845,0
266,183,62,21,5,43.52,62,25,37,2.1462,0.85,-0.34,4,3.095238095,4,7,3,12,161,12,5,6,4806.804167,43.35217228,17.94052747,1.582260417,4453.413333,-0.054904545,-0.8147,0.285714286,7.5924,2,0.2084,0.421242,-0.1414
519,416,85,18,4,35.2,85,52,33,-1.8609,0.76,0.88,5,3.611111111,5,7,3,30,389,30,9,19,18271.06194,35.13626923,35.13653419,100.7977778,76.28777778,-0.057896296,-0.5709,0.444444444,3.8184,1,0.2556,-1.158591304,0.0715
637,296,255,86,5,15.33,255,71,184,0.9607,0.85,0.94,4,2.825581395,4,21,3,63,230,63,39,14,472.7230556,15.31053466,0.710842476,2.630023585,20.45305556,-0.003030303,-0.4506,0.360465116,21.1612,15,-0.0175,-0.703490468,-0.0587
1529,1229,264,36,4,17.19,264,103,161,3.2183,0.86,0,4,2.861111111,4,9,3,34,1131,34,26,8,26285.64667,17.1818622,17.17887745,97.40311071,5355.421944,0.017187755,0.1773,0.25,7.5615,5,0.175,2.007061404,-0.0658
307,156,134,17,4,14.07,134,53,81,-3.977,0.87,0.19,3,2.470588235,3,3,2,27,129,28,16,7,4314.269444,14.00101912,14.00690296,10.51221065,32.57444444,-0.082703704,-0.9534,0.470588235,4.7452,3,-0.8271,-1.673053846,-0.7906
347,134,148,65,5,12.74,148,53,95,-9.7677,0.85,-0.52,4,2.969230769,4,19,3,98,113,106,45,35,4419.622778,10.75126596,12.69999202,31.8510467,0,-0.416619048,-1.1793,0.507692308,14.8955,7,-0.2868,-4.525356642,0.6398
98,93,2,3,2,150.37,2,0,2,1.7047,0,0,1,1,1,1,1,1,88,1,1,0,3.974166667,148.8468939,0.014158249,1.426944444,0,0.34094,0,0,0,2,1.1188,1.7047,0.5859
9,5,3,1,2,2177.24,3,2,1,0,0,0,0,0,0,1,1,2,3,2,0,1,9083.320833,1959.513306,633.9005278,1236.825208,270.9272222,0,0,0,0,0,0,0,0
771,446,200,125,5,15.08,200,69,131,0.1935,0.87,0.05,4,2.8,4,26,4,88,381,94,46,26,6974.003889,15.06242984,9.033462507,28.21448893,1.693888889,-0.02702,3.5478,0.336,28.9393,21,-0.0378,-0.720357362,-0.8116
291,181,70,40,5,2.49,70,26,44,-3.6584,0.9,-0.6,4,3.25,4,9,3,22,150,24,8,11,127.2786111,2.481143455,0.431773212,4.398811881,20.53638889,-0.151796774,1.498,0.35,7.7425,3,-0.4043,-0.974799123,0.104
1099,595,416,88,5,11.72,416,159,257,-8.7092,0.85,-0.82,4,3.011363636,4,13,4,99,508,100,55,35,11247.28917,11.70895732,10.22476061,8.210590992,22.51638889,-0.095393103,-0.7775,0.431818182,22.5529,13,-0.0632,-5.482611051,0.8307
491,358,102,31,5,22.58,102,35,67,0.4254,0.83,0,4,3.161290323,4,7,3,28,322,37,19,9,8204.270833,22.52927846,16.67444557,6.179613821,94.14305556,0.018877778,0.9782,0.387096774,10.14,5,-0.0365,-0.053165753,0.1184
8604,6303,1845,456,5,2.02,1845,709,1136,52.129,0.88,-0.26,4,2.953947368,4,61,4,243,6000,265,69,38,17372.24056,1.830966363,2.018812899,27.91787973,14175.20306,0.164687789,0.0989,0.219298246,97.6701,47,0.144,21.40957721,-0.4298
64,54,10,0,2,396.01,10,3,7,0,0,0,0,0,0,0,3,48,3,1,2,12800.83111,389.9185385,29.78311111,162.3647778,11246.35917,0,0,0,0,0,0,0,0,0
1538,438,825,275,5,7.39,825,322,503,21.2566,0.85,0,4,2.981818182,4,44,3,106,312,109,52,35,3954.769444,3.054249332,2.56969587,8.679349511,13.40555556,0.140534127,-0.1,0.287272727,68.5778,46,0.0286,11.18053201,0.6793
217,142,62,13,4,82.38,62,24,38,-1.0058,0.76,-0.24,4,3.153846154,4,7,2,41,127,42,26,12,17877.18139,81.17112258,81.87316514,13.93614074,17600.91306,-0.127726667,0.669,0.461538462,3.6467,2,-0.9868,-0.295278125,-0.0275
326,239,53,34,5,87.25,53,26,27,5.6329,0.87,0,4,3.323529412,4,8,3,7,209,10,2,2,27136.72306,86.9829052,82.68609582,3.891955128,664.3683333,0.11234,0.5669,0.117647059,6.98,1,-0.2388,3.246227778,0.2578
676,378,204,94,5,15.92,204,61,143,13.0459,0.85,-0.59,4,2.712765957,4,22,2,98,329,104,71,20,3008.520278,15.90022239,4.442911948,10.50630254,555.6838889,0.216208163,2.3085,0.265957447,23.8062,17,-0.288,5.328966712,-0.247
6,5,1,0,2,11.34,1,0,1,0,0,0,0,0,0,0,1,4,1,1,0,17.96694444,9.718253968,0,2.978333333,14.98861111,0,0,0,0,0,0,0,0,0
33,32,1,0,2,31.03,1,1,0,0,0,0,0,0,0,0,1,31,1,0,1,0.058888889,30.11652778,0,0.058888889,0,0,0,0,0,0,0,0,0,0
952,537,318,97,5,14.7,318,117,201,-4.6551,0.88,-0.57,4,2.886597938,4,19,3,105,443,109,50,41,2350.758611,14.68740964,2.466601667,28.77011747,8.569444444,-0.056680851,-2.6731,0.340206186,23.4472,12,-0.2488,-0.289237895,-0.1708
8,5,0,3,4,733.44,0,0,0,-1.5449,0,0,0,0,2,2,1,4,3,0,0,0,651.9453086,0,0,17.29027778,-0.693,-1.5449,0.666666667,0,0,0,-1.029933333,-0.693,-0.693
12,9,3,0,2,2751.92,3,1,2,0,0,0,0,0,0,0,2,7,2,2,0,33019.63667,2540.236667,334.6099145,1.036574074,33017.22278,0,0,0,0,0,0,0,0,0
279,196,52,31,5,11.91,52,21,31,1.0924,0.82,0.93,4,3.096774194,4,10,2,21,171,26,11,4,2983.665833,11.87172817,10.65577679,0.889287281,10.38166667,-0.004408,0.951,0.387096774,8.2579,7,0.0713,0.843529808,-0.0295
2173,1636,466,71,5,7.04,466,205,261,-7.342,0.85,0,4,3.014084507,4,17,3,53,1479,59,30,15,2353.306944,7.037526066,1.082471123,8.667134982,17.62111111,-0.040653503,-1.9343,0.436619718,17.0062,7,0.0579,-3.188171173,0.2933
201,141,26,34,5,0.58,26,12,14,-3.2451,0.86,0,4,2.705882353,4,7,2,13,124,21,2,5,82.45361111,0.576471397,0.340247525,1.164183007,15.27416667,-0.188982353,-1.1158,0.411764706,9.3816,7,-0.6896,-1.365865686,0.039
20,16,3,1,2,135.68,3,1,2,0,0,0,0,0,0,1,1,3,14,3,1,1,13.16972222,129.2226323,0.624563492,0.76125,12.05583333,0,0,0,0,0,0,0,0
