total nodes,number tweets,number retweet,number replies,depth,freq,vrf,leader ,normal,total sentiment,co,centralty,diam,ecc,num sh path,num clique,num idp,max out,empty,engage max,num normal max,num leader max,lc,t freq,r freq,tpfr,t max,snt first,snt deep,snt ratio,score comm,local,snt sh path,wight clique,snt idp
3,3,0,0,1,8762.23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,126,65,49,5,296.36,65,30,35,5.2731,0.82,0,4,3.163265306,4,20,3,17,102,17,5,8,70535.20778,295.1338532,221.9824816,127.981592,34797.84417,0.089745833,1.1665,0.367346939,14.5532,8,0.1576,2.79155798,0.39
2505,849,1164,492,5,37.49,1164,380,784,25.7166,0.87,0.48,4,2.869918699,4,73,3,210,717,328,117,49,93911.8025,37.47463975,30.44647989,7.856023707,90710.04806,0.128841667,-1.4921,0.272357724,106.0571,71,0.1091,13.05474076,0.3449
7,7,0,0,1,970.43,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,849.1270139,0,0,0,0,0,0,0,0,0,0,0,0
307,100,132,75,5,232.54,132,58,74,6.4318,0.86,0.56,4,2.946666667,4,20,3,121,74,122,54,41,71181.34694,231.7584668,114.7351199,2.284010152,67279.49056,0.299726923,-0.4229,0.28,15.7797,9,0.3973,3.124138737,-0.0911
67,23,38,6,4,1212.37,38,8,30,-0.5805,0,0,0,0,3,3,33,19,33,26,7,79876.66806,1194.541181,505.06096,8.716571637,79735.18167,-0.0626,-0.8405,0.5,0,0,0,-0.2879,-0.1325,0.0287
144,123,7,14,3,71.51,7,2,5,0.4079,0.96,0.78,0,0,3,3,10,118,10,2,0,10293.10417,70.98554215,70.93264176,0.331311728,7.636111111,-0.08672,0.8415,0.214285714,0,0,0,0.79493125,0.3309,-0.4115
4646,2754,1437,455,8,5.94,1437,549,888,51.2042,0.88,0.27,4,2.841758242,4,62,3,130,2288,165,64,38,27581.44722,5.928798508,5.93510939,15.2045643,25299.48083,0.056318884,0.2734,0.208791209,95.3501,52,0.0566,20.75559796,0.3994
2,2,0,0,1,7580.45,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5053.634907,0,0,0,0,0,0,0,0,0,0,0,0
2633,1380,857,396,8,10.52,857,330,527,41.0488,0.88,0.27,4,2.878787879,4,56,3,130,1082,165,64,38,27697.11444,10.50371826,10.50585717,12.17938523,25415.14806,0.067453356,0.2734,0.227272727,87.6765,50,0.2526,19.08096232,0.5042
